name,symbol,current_price,market_cap,total_volume,price_change_percentage_24h
Bitcoin,btc,62138.0,1244410574813,52979183826,-1.68933
Ethereum,eth,1667.83,201391572172,26665980953,-5.29958
Tether,usdt,0.999144,187366710722,86616865497,0.01901
BNB,bnb,594.38,80134607178,1520871474,-0.79526
USDC,usdc,0.999705,75487864986,21056730526,-0.00269
XRP,xrp,1.13,70047333838,3092023772,-2.9279
Solana,sol,66.46,38406606615,5160817001,-3.97817
TRON,trx,0.326164,30908130426,894879138,-0.7378
Figure Heloc,figr_heloc,1.019,18837802192,40502719,1.80771
Hyperliquid,hype,62.45,13882533471,1549226053,-4.88541
Dogecoin,doge,0.084465,13038718722,1382528835,-4.27067
USDS,usds,0.999618,10888167352,193292286,-0.01306
LEO Token,leo,9.83,9054054350,2934257,-0.90931
Rain,rain,0.01351999,8383118118,51421048,-4.40661
Stellar,xlm,0.190695,6428788933,772688631,-8.56422
Monero,xmr,327.16,6126702668,199941106,-5.50654
Cardano,ada,0.164344,6090310835,1162790891,-12.40624
Canton,cc,0.146708,5682300635,16908024,-2.09389
Chainlink,link,7.61,5531892167,491613124,-4.53144
Zcash,zec,316.74,5274558150,2588441317,-38.62234
